exp_rep, bfly, algo, time, preprocess_time, iterations
1, fces, 2030092530886.02, 59.93, 237.90, 75155
2, fces, 2102457129720.92, 0.01, 0.00, 18
2, fces, 2355580890646.99, 0.62, 0.00, 737
2, fces, 2207557166843.22, 1.23, 0.00, 1502
2, fces, 2150251774820.33, 1.84, 0.00, 2234
2, fces, 2163542030198.99, 2.45, 0.00, 2945
2, fces, 2187552421787.97, 3.06, 0.00, 3632
2, fces, 2119019562850.50, 3.67, 0.00, 4357
2, fces, 2063467924588.09, 4.27, 0.00, 5092
2, fces, 2106095491416.16, 4.87, 0.00, 5776
2, fces, 2112894223644.61, 5.47, 0.00, 6483
2, fces, 2101207486737.04, 6.07, 0.00, 7213
2, fces, 2108604276045.38, 6.67, 0.00, 7932
2, fces, 2091197002847.72, 7.27, 0.00, 8676
2, fces, 2084744470720.42, 7.87, 0.00, 9421
2, fces, 2078674770649.35, 8.47, 0.00, 10140
2, fces, 2090965593957.10, 9.07, 0.00, 10854
2, fces, 2074111178570.05, 9.67, 0.00, 11560
2, fces, 2064783809286.51, 10.27, 0.00, 12321
2, fces, 2054536201887.89, 10.87, 0.00, 13095
2, fces, 2037887492661.40, 11.47, 0.00, 13845
2, fces, 2036528721087.31, 12.07, 0.00, 14589
2, fces, 2047972106632.12, 12.67, 0.00, 15321
2, fces, 2048138297568.80, 13.27, 0.00, 15996
2, fces, 2050739301049.39, 13.87, 0.00, 16709
2, fces, 2043329303102.26, 14.47, 0.00, 17430
2, fces, 2039441246832.52, 15.07, 0.00, 18137
2, fces, 2033889435953.79, 15.67, 0.00, 18872
2, fces, 2035442511605.46, 16.27, 0.00, 19628
2, fces, 2041618892540.19, 16.87, 0.00, 20382
2, fces, 2038069382465.06, 17.47, 0.00, 21144
2, fces, 2037560549811.28, 18.07, 0.00, 21938
2, fces, 2042695176967.35, 18.67, 0.00, 22743
2, fces, 2048038434802.32, 19.27, 0.00, 23526
2, fces, 2042126393923.99, 19.87, 0.00, 24309
2, fces, 2034419675172.33, 20.47, 0.00, 25084
2, fces, 2034758346151.69, 21.07, 0.00, 25886
2, fces, 2028804515643.90, 21.67, 0.00, 26685
2, fces, 2026713545684.66, 22.27, 0.00, 27445
2, fces, 2034861440828.63, 22.87, 0.00, 28180
2, fces, 2032980393166.57, 23.47, 0.00, 28933
2, fces, 2034982550415.84, 24.07, 0.00, 29700
2, fces, 2034884692881.33, 24.67, 0.00, 30440
2, fces, 2032677552738.51, 25.27, 0.00, 31176
2, fces, 2033960116080.12, 25.87, 0.00, 31899
2, fces, 2035592470326.34, 26.47, 0.00, 32650
2, fces, 2034353466624.70, 27.07, 0.00, 33403
2, fces, 2036201329643.68, 27.67, 0.00, 34170
