exp_rep, bfly, algo, time, preprocess_time, iterations
1, ps, 1945883298951.91, 57.49, 27.77, 21174867
1, ps, 1946048095145.11, 58.10, 27.77, 21427212
1, ps, 1946377099072.34, 58.71, 27.77, 21674811
1, ps, 1946146045501.60, 59.32, 27.77, 21901050
1, ps, 1946164650011.99, 59.93, 27.77, 22116378
2, ps, 1778841000091.57, 0.01, 0.00, 1512
2, ps, 1888450867945.38, 0.62, 0.00, 249299
2, ps, 1915318736464.67, 1.23, 0.00, 480819
2, ps, 1926959022434.07, 1.84, 0.00, 710172
2, ps, 1933324638077.42, 2.45, 0.00, 921575
2, ps, 1924126171832.10, 3.06, 0.00, 1158021
2, ps, 1931157071362.99, 3.67, 0.00, 1399095
2, ps, 1931555959199.15, 4.27, 0.00, 1631402
2, ps, 1931533756381.98, 4.87, 0.00, 1841517
2, ps, 1934067184555.40, 5.47, 0.00, 2043252
2, ps, 1932713816026.65, 6.07, 0.00, 2277863
2, ps, 1930589752176.82, 6.67, 0.00, 2500766
2, ps, 1929659026748.73, 7.27, 0.00, 2706753
2, ps, 1933588686630.94, 7.87, 0.00, 2962703
2, ps, 1933748425364.25, 8.47, 0.00, 3203859
2, ps, 1932408402054.32, 9.07, 0.00, 3446257
2, ps, 1935764879112.06, 9.67, 0.00, 3667592
2, ps, 1934519773844.14, 10.27, 0.00, 3899912
2, ps, 1932458336667.55, 10.87, 0.00, 4138007
2, ps, 1932577611192.07, 11.47, 0.00, 4372507
2, ps, 1931293743609.84, 12.07, 0.00, 4597290
2, ps, 1933738750319.17, 12.67, 0.00, 4821307
2, ps, 1934737884945.27, 13.27, 0.00, 5027787
2, ps, 1936324883705.54, 13.87, 0.00, 5246744
2, ps, 1935140800040.74, 14.47, 0.00, 5489458
2, ps, 1936253912167.71, 15.07, 0.00, 5730391
2, ps, 1935810076636.74, 15.67, 0.00, 5972126
2, ps, 1936333080102.12, 16.27, 0.00, 6201146
2, ps, 1934990543671.72, 16.87, 0.00, 6433684
2, ps, 1935971217199.57, 17.47, 0.00, 6669548
2, ps, 1936466480798.20, 18.07, 0.00, 6887348
2, ps, 1938287591994.48, 18.67, 0.00, 7111000
2, ps, 1938304983350.93, 19.27, 0.00, 7345997
2, ps, 1937758744875.28, 19.87, 0.00, 7586415
2, ps, 1938972938815.41, 20.47, 0.00, 7826687
2, ps, 1939347189187.91, 21.07, 0.00, 8063606
2, ps, 1939342985748.27, 21.67, 0.00, 8283192
2, ps, 1939420820948.21, 22.27, 0.00, 8539142
2, ps, 1940060324031.95, 22.87, 0.00, 8759530
2, ps, 1939190476736.05, 23.47, 0.00, 8984321
2, ps, 1939663448636.79, 24.07, 0.00, 9220909
2, ps, 1939703645819.64, 24.67, 0.00, 9434200
2, ps, 1939356089865.99, 25.27, 0.00, 9663557
2, ps, 1940630818837.78, 25.87, 0.00, 9924475
2, ps, 1940787140741.67, 26.47, 0.00, 10137482
2, ps, 1940623490596.50, 27.07, 0.00, 10368959
2, ps, 1939978467859.17, 27.67, 0.00, 10573658
2, ps, 1940032219457.56, 28.27, 0.00, 10791081
2, ps, 1939560310378.59, 28.87, 0.00, 11013195
2, ps, 1938739317005.39, 29.47, 0.00, 11238328
2, ps, 1938708132877.57, 30.07, 0.00, 11451934
2, ps, 1938720551575.59, 30.67, 0.00, 11643365
2, ps, 1938978820852.39, 31.27, 0.00, 11860980
2, ps, 1938973118185.26, 31.87, 0.00, 12111697
2, ps, 1938239896048.45, 32.48, 0.00, 12320264
2, ps, 1938043011334.65, 33.09, 0.00, 12536957
2, ps, 1938363790087.83, 33.70, 0.00, 12739687
2, ps, 1938522209731.17, 34.31, 0.00, 12940104
2, ps, 1939805156219.78, 34.92, 0.00, 13170307
2, ps, 1940877141793.06, 35.53, 0.00, 13396230
2, ps, 1939987873198.51, 36.14, 0.00, 13614546
2, ps, 1939950992648.10, 36.75, 0.00, 13840183
2, ps, 1940323942633.43, 37.36, 0.00, 14075444
2, ps, 1940075860592.62, 37.97, 0.00, 14324179
2, ps, 1940088248454.72, 38.58, 0.00, 14559265
2, ps, 1940577654315.04, 39.19, 0.00, 14791044
2, ps, 1940356081007.85, 39.80, 0.00, 15006476
2, ps, 1940342358668.26, 40.41, 0.00, 15237404
2, ps, 1940209866510.12, 41.02, 0.00, 15456196
2, ps, 1940313989301.92, 41.63, 0.00, 15667229
2, ps, 1940645895734.39, 42.24, 0.00, 15883139
2, ps, 1940954138960.97, 42.85, 0.00, 16113860
2, ps, 1941234211101.98, 43.46, 0.00, 16377831
2, ps, 1941519112382.53, 44.07, 0.00, 16619187
2, ps, 1941850978713.63, 44.68, 0.00, 16834025
2, ps, 1942092874373.31, 45.29, 0.00, 17055119
2, ps, 1942101180146.02, 45.90, 0.00, 17265661
2, ps, 1942955332119.41, 46.51, 0.00, 17474241
2, ps, 1942656418105.01, 47.12, 0.00, 17707089
2, ps, 1942865170210.43, 47.73, 0.00, 17941689
2, ps, 1942455595958.32, 48.34, 0.00, 18157544
2, ps, 1942156977826.68, 48.95, 0.00, 18395152
2, ps, 1941821259202.11, 49.56, 0.00, 18634962
2, ps, 1941766062705.27, 50.17, 0.00, 18860493
2, ps, 1941594305490.45, 50.78, 0.00, 19073053
2, ps, 1941656771398.19, 51.39, 0.00, 19308258
2, ps, 1941891551629.16, 52.00, 0.00, 19533348
2, ps, 1941859139796.49, 52.61, 0.00, 19747861
2, ps, 1942034000252.88, 53.22, 0.00, 19974654
2, ps, 1942274254035.72, 53.83, 0.00, 20214186
2, ps, 1942560593941.98, 54.44, 0.00, 20436171
2, ps, 1942357727835.23, 55.05, 0.00, 20663072
2, ps, 1942795417051.69, 55.66, 0.00, 20921010
2, ps, 1942293650087.09, 56.27, 0.00, 21142437
2, ps, 1941965191441.07, 56.88, 0.00, 21368332
2, ps, 1941928693773.76, 57.49, 0.00, 21619699
2, ps, 1942060890156.75, 58.10, 0.00, 21862805
2, ps, 1942126836696.94, 58.71, 0.00, 22077051
2, ps, 1942042204497.82, 59.32, 0.00, 22311569
2, ps, 1942436134621.74, 59.93, 0.00, 22527260
3, ps, 1376611873448.14, 0.01, 0.00, 2579
3, ps, 1973915740914.87, 0.62, 0.00, 228095
3, ps, 1968492088639.92, 1.23, 0.00, 474608
3, ps, 1952553832741.89, 1.84, 0.00, 715960
3, ps, 1964022738509.40, 2.45, 0.00, 961236
3, ps, 1961404911126.58, 3.06, 0.00, 1214777
3, ps, 1957048320084.94, 3.67, 0.00, 1457877
3, ps, 1950129670746.93, 4.27, 0.00, 1667832
3, ps, 1955925197813.49, 4.87, 0.00, 1904304
3, ps, 1948364610812.07, 5.47, 0.00, 2120748
3, ps, 1947842721523.85, 6.07, 0.00, 2373508
3, ps, 1943262661953.17, 6.67, 0.00, 2610020
3, ps, 1942576089081.70, 7.27, 0.00, 2852520
