exp_rep, bfly, algo, time, preprocess_time, iterations
1, pcs, 40772470814616.29, 53.83, 2625.73, 9118774
1, pcs, 40778351094830.44, 54.44, 2625.73, 9238232
1, pcs, 40776493178451.30, 55.05, 2625.73, 9359607
1, pcs, 40778468360257.14, 55.66, 2625.73, 9484795
1, pcs, 40777380105860.33, 56.27, 2625.73, 9594203
1, pcs, 40773588871733.19, 56.88, 2625.73, 9714233
1, pcs, 40776104352771.64, 57.49, 2625.73, 9828227
1, pcs, 40771758426228.72, 58.10, 2625.73, 9948857
1, pcs, 40770844533319.88, 58.71, 2625.73, 10061141
1, pcs, 40770515194999.97, 59.32, 2625.73, 10180740
1, pcs, 40765586593693.02, 59.93, 2625.73, 10304841
2, pcs, 50546984272357.44, 0.01, 0.00, 551
2, pcs, 40760899818710.73, 0.62, 0.00, 114187
2, pcs, 40773056637003.34, 1.23, 0.00, 228706
2, pcs, 41069817920399.70, 1.84, 0.00, 343191
2, pcs, 40976936858086.88, 2.45, 0.00, 468390
2, pcs, 40941595280216.27, 3.06, 0.00, 584800
2, pcs, 40965767315858.06, 3.67, 0.00, 692292
2, pcs, 40880599263928.58, 4.27, 0.00, 796044
2, pcs, 40976977524660.37, 4.87, 0.00, 905300
2, pcs, 40879648759376.53, 5.47, 0.00, 1014741
2, pcs, 40876430483798.36, 6.07, 0.00, 1125804
2, pcs, 40849490593741.91, 6.67, 0.00, 1237856
2, pcs, 40829940968529.73, 7.27, 0.00, 1342464
2, pcs, 40854986183906.24, 7.87, 0.00, 1445875
2, pcs, 40878154043063.66, 8.47, 0.00, 1553114
2, pcs, 40897072332718.89, 9.07, 0.00, 1654810
2, pcs, 40911858202959.66, 9.67, 0.00, 1755753
2, pcs, 40889411354000.13, 10.27, 0.00, 1869027
2, pcs, 40863508535311.60, 10.87, 0.00, 1972574
2, pcs, 40809779985248.91, 11.47, 0.00, 2083703
2, pcs, 40811495210352.72, 12.07, 0.00, 2184792
2, pcs, 40814608076225.86, 12.67, 0.00, 2291731
2, pcs, 40795327531062.73, 13.27, 0.00, 2398800
2, pcs, 40788888399628.66, 13.87, 0.00, 2499153
2, pcs, 40792662408819.54, 14.47, 0.00, 2609333
2, pcs, 40785727557301.46, 15.07, 0.00, 2713017
2, pcs, 40814346344386.19, 15.67, 0.00, 2821165
2, pcs, 40819395122826.31, 16.27, 0.00, 2924829
2, pcs, 40802862043894.95, 16.87, 0.00, 3028392
2, pcs, 40782802726429.31, 17.47, 0.00, 3135939
2, pcs, 40778146402118.25, 18.07, 0.00, 3242152
2, pcs, 40779781957242.49, 18.67, 0.00, 3345131
2, pcs, 40797189285205.16, 19.27, 0.00, 3450621
2, pcs, 40794530189631.12, 19.87, 0.00, 3551850
2, pcs, 40776696187938.22, 20.47, 0.00, 3668600
2, pcs, 40779856491707.50, 21.07, 0.00, 3771366
2, pcs, 40787156235345.07, 21.67, 0.00, 3880327
2, pcs, 40796421626681.21, 22.27, 0.00, 3987116
2, pcs, 40796000648029.58, 22.87, 0.00, 4088733
2, pcs, 40808487311855.94, 23.47, 0.00, 4202618
2, pcs, 40816272415754.30, 24.07, 0.00, 4306120
2, pcs, 40803286261129.89, 24.67, 0.00, 4409526
2, pcs, 40819660484643.96, 25.27, 0.00, 4508972
2, pcs, 40822880806550.28, 25.87, 0.00, 4600681
2, pcs, 40821850487355.99, 26.47, 0.00, 4691792
2, pcs, 40826725647829.14, 27.07, 0.00, 4778454
2, pcs, 40833653145057.37, 27.67, 0.00, 4860544
2, pcs, 40841550502936.82, 28.27, 0.00, 4940706
2, pcs, 40835470154574.04, 28.87, 0.00, 5031958
2, pcs, 40838691824721.86, 29.47, 0.00, 5126357
2, pcs, 40840490431885.66, 30.07, 0.00, 5229087
2, pcs, 40844281487650.12, 30.67, 0.00, 5325781
2, pcs, 40843359967407.28, 31.27, 0.00, 5422167
2, pcs, 40843680313709.54, 31.87, 0.00, 5517883
2, pcs, 40842092608539.19, 32.48, 0.00, 5637133
2, pcs, 40842183899422.73, 33.09, 0.00, 5749765
2, pcs, 40847065822410.31, 33.70, 0.00, 5851491
2, pcs, 40851095734744.04, 34.31, 0.00, 5964274
2, pcs, 40851316806350.40, 34.92, 0.00, 6068300
2, pcs, 40850339072865.35, 35.53, 0.00, 6182129
2, pcs, 40849208763306.01, 36.14, 0.00, 6285828
2, pcs, 40845852753644.80, 36.75, 0.00, 6390855
2, pcs, 40832372334262.23, 37.36, 0.00, 6494879
2, pcs, 40830697140382.93, 37.97, 0.00, 6602472
2, pcs, 40824380242734.64, 38.58, 0.00, 6701578
2, pcs, 40819993490154.10, 39.19, 0.00, 6816778
2, pcs, 40823381628661.06, 39.80, 0.00, 6931472
2, pcs, 40825906290332.84, 40.41, 0.00, 7037213
2, pcs, 40828114144467.32, 41.02, 0.00, 7148746
2, pcs, 40823818411236.42, 41.63, 0.00, 7254533
2, pcs, 40830981598609.59, 42.24, 0.00, 7364708
2, pcs, 40836912923876.25, 42.85, 0.00, 7476239
2, pcs, 40837839401298.22, 43.46, 0.00, 7590051
2, pcs, 40851977576341.46, 44.07, 0.00, 7705418
2, pcs, 40848708519959.29, 44.68, 0.00, 7820921
2, pcs, 40837021823670.46, 45.29, 0.00, 7930245
2, pcs, 40844537422340.60, 45.90, 0.00, 8046051
2, pcs, 40839943127146.71, 46.51, 0.00, 8165238
2, pcs, 40837348915750.21, 47.12, 0.00, 8285186
2, pcs, 40834691895865.97, 47.73, 0.00, 8393236
2, pcs, 40837938637017.89, 48.34, 0.00, 8512386
2, pcs, 40839120811048.84, 48.95, 0.00, 8626936
2, pcs, 40840509687034.84, 49.56, 0.00, 8738152
2, pcs, 40839441062294.41, 50.17, 0.00, 8855641
2, pcs, 40843977787987.80, 50.78, 0.00, 8968164
2, pcs, 40851204599423.38, 51.39, 0.00, 9079392
2, pcs, 40849249356656.32, 52.00, 0.00, 9205971
