exp_rep, bfly, algo, time, preprocess_time, iterations
1, pcs, 101452888160829.96, 55.66, 845.05, 9085299
1, pcs, 101452866252224.77, 56.27, 845.05, 9183680
1, pcs, 101451733477487.15, 56.88, 845.05, 9296461
1, pcs, 101456455086451.58, 57.49, 845.05, 9408697
1, pcs, 101462798253453.99, 58.10, 845.05, 9511147
1, pcs, 101460225840387.18, 58.71, 845.05, 9614996
1, pcs, 101456314806575.28, 59.32, 845.05, 9714785
1, pcs, 101456656722174.59, 59.93, 845.05, 9823888
2, pcs, 100467649054524.82, 0.01, 0.00, 4244
2, pcs, 101079728338028.28, 0.62, 0.00, 108666
2, pcs, 101338806802200.64, 1.23, 0.00, 214169
2, pcs, 101417249003868.33, 1.84, 0.00, 317893
2, pcs, 101520085102494.36, 2.45, 0.00, 432838
2, pcs, 101595439224293.48, 3.06, 0.00, 538026
2, pcs, 101469637681280.36, 3.67, 0.00, 637856
2, pcs, 101497481192730.61, 4.27, 0.00, 732161
2, pcs, 101490887572024.93, 4.87, 0.00, 837136
2, pcs, 101496771429297.94, 5.47, 0.00, 937705
2, pcs, 101496089785685.95, 6.07, 0.00, 1024074
2, pcs, 101498907484180.68, 6.67, 0.00, 1106141
2, pcs, 101457753911148.03, 7.27, 0.00, 1186704
2, pcs, 101452906443543.90, 7.87, 0.00, 1269449
2, pcs, 101457059901817.46, 8.47, 0.00, 1348563
2, pcs, 101457516925295.97, 9.07, 0.00, 1430304
2, pcs, 101470390387854.91, 9.67, 0.00, 1514022
2, pcs, 101473139450396.92, 10.27, 0.00, 1602958
2, pcs, 101486837420199.72, 10.87, 0.00, 1690278
2, pcs, 101477288591458.98, 11.47, 0.00, 1788893
2, pcs, 101457416717850.98, 12.07, 0.00, 1881824
2, pcs, 101449460685538.67, 12.67, 0.00, 1979533
2, pcs, 101445551887873.80, 13.27, 0.00, 2079898
2, pcs, 101462883209591.49, 13.87, 0.00, 2188985
2, pcs, 101461734676650.80, 14.47, 0.00, 2288544
2, pcs, 101442338737725.42, 15.07, 0.00, 2399283
2, pcs, 101435859914376.53, 15.67, 0.00, 2503858
2, pcs, 101418138200225.16, 16.27, 0.00, 2606073
2, pcs, 101451639273280.14, 16.87, 0.00, 2711884
2, pcs, 101437968959085.07, 17.47, 0.00, 2814979
2, pcs, 101444969800618.90, 18.07, 0.00, 2911948
2, pcs, 101452658070543.27, 18.67, 0.00, 3029744
2, pcs, 101463083677186.49, 19.27, 0.00, 3140242
2, pcs, 101482137020588.74, 19.87, 0.00, 3245581
2, pcs, 101481793251690.89, 20.47, 0.00, 3350778
2, pcs, 101491619398815.34, 21.07, 0.00, 3457826
2, pcs, 101494824443004.67, 21.67, 0.00, 3563879
2, pcs, 101501402867377.50, 22.27, 0.00, 3670345
2, pcs, 101490447737223.06, 22.87, 0.00, 3778988
2, pcs, 101493718866132.37, 23.47, 0.00, 3883409
2, pcs, 101498257111332.06, 24.07, 0.00, 3986233
2, pcs, 101510251339903.29, 24.67, 0.00, 4102048
2, pcs, 101511875839112.83, 25.27, 0.00, 4212631
2, pcs, 101508609500418.50, 25.87, 0.00, 4321899
2, pcs, 101526940771261.99, 26.47, 0.00, 4426347
2, pcs, 101541731556878.38, 27.07, 0.00, 4538242
2, pcs, 101536078485186.50, 27.67, 0.00, 4639649
2, pcs, 101534125949943.19, 28.27, 0.00, 4743506
2, pcs, 101541462852914.19, 28.87, 0.00, 4853670
2, pcs, 101542418622517.68, 29.47, 0.00, 4962131
2, pcs, 101536231311939.56, 30.07, 0.00, 5072514
2, pcs, 101539693028044.26, 30.67, 0.00, 5172747
2, pcs, 101528715408101.60, 31.27, 0.00, 5292000
